customer_id,age,tenure_months,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_failures,support_tickets,avg_resolution_time,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,referral_count,gender,country,city,customer_segment,signup_channel,contract_type,payment_method,discount_applied,price_increase_last_3m,complaint_type,survey_response
DEMO-001,52,4,8,1,8.5,2,-0.35,28,85,340,3,5,48.2,1,2,0.15,0.05,-60,0,Female,USA,New York,Enterprise,Web,Monthly,Card,No,Yes,Billing,Unsatisfied
DEMO-002,41,6,10,2,11.2,3,-0.22,19,70,420,2,4,36.5,2,1,0.22,0.10,-40,0,Male,UK,London,SME,Mobile,Monthly,PayPal,No,Yes,Technical,Unsatisfied
DEMO-003,33,3,6,1,7.0,2,-0.40,35,90,270,4,6,52.0,1,3,0.12,0.04,-75,0,Female,Germany,Berlin,Individual,Web,Monthly,Card,No,Yes,Service,Unsatisfied
DEMO-004,58,8,12,2,12.0,4,-0.18,15,65,520,2,3,30.0,2,1,0.25,0.08,-30,0,Male,Canada,Toronto,SME,Referral,Monthly,Bank Transfer,No,No,Technical,Neutral
DEMO-005,29,2,5,1,6.5,1,-0.50,42,95,190,3,5,45.0,1,2,0.10,0.02,-80,0,Female,Australia,Sydney,Individual,Mobile,Monthly,Card,No,Yes,Billing,Unsatisfied
DEMO-006,47,5,9,2,9.8,3,-0.28,22,80,400,2,4,38.0,2,1,0.18,0.06,-50,0,Male,India,Delhi,Enterprise,Web,Monthly,PayPal,No,Yes,Service,Unsatisfied
DEMO-007,36,7,11,2,10.5,3,-0.15,18,75,525,2,3,32.0,2,1,0.28,0.09,-25,0,Female,Bangladesh,Dhaka,Individual,Web,Monthly,Card,No,No,Technical,Neutral
DEMO-008,62,4,7,1,8.0,2,-0.32,25,85,340,3,4,40.0,1,2,0.14,0.05,-65,0,Male,USA,New York,SME,Referral,Monthly,Bank Transfer,No,Yes,Billing,Unsatisfied
DEMO-009,44,18,18,3,15.2,5,0.01,8,45,810,1,2,22.0,3,0,0.45,0.20,10,1,Female,UK,London,Enterprise,Web,Quarterly,Card,No,No,Technical,Neutral
DEMO-010,38,22,20,4,16.5,6,0.05,6,50,1100,1,1,18.5,3,0,0.48,0.22,15,1,Male,Germany,Berlin,Individual,Mobile,Quarterly,PayPal,Yes,No,No complaint,Satisfied
DEMO-011,50,15,16,3,14.0,5,-0.02,10,55,825,1,2,25.0,3,0,0.40,0.18,5,0,Female,Canada,Toronto,SME,Web,Monthly,Card,No,No,Service,Neutral
DEMO-012,31,24,22,4,18.0,7,0.08,5,40,960,0,2,20.0,4,0,0.52,0.25,25,2,Male,Australia,Sydney,Individual,Referral,Yearly,Bank Transfer,Yes,No,No complaint,Satisfied
DEMO-013,55,19,17,3,14.8,5,0.00,7,60,1140,1,1,21.0,3,0,0.42,0.19,12,1,Female,USA,New York,Enterprise,Web,Quarterly,Card,No,No,Technical,Neutral
DEMO-014,42,21,19,4,16.0,6,0.04,6,45,945,0,2,23.0,3,0,0.46,0.21,18,1,Male,India,Delhi,SME,Mobile,Monthly,PayPal,No,No,Service,Neutral
DEMO-015,28,14,15,3,13.5,4,-0.05,11,50,700,1,3,28.0,3,1,0.38,0.16,0,0,Female,Bangladesh,Dhaka,Individual,Web,Monthly,Card,No,Yes,Billing,Neutral
DEMO-016,49,26,21,4,17.2,6,0.06,5,35,910,0,1,19.0,4,0,0.50,0.24,30,2,Male,UK,London,Individual,Referral,Yearly,Card,Yes,No,No complaint,Satisfied
DEMO-017,45,48,28,5,24.5,9,0.18,2,25,1200,0,0,12.0,5,0,0.68,0.38,65,3,Female,Germany,Berlin,Enterprise,Referral,Yearly,Bank Transfer,Yes,No,No complaint,Satisfied
DEMO-018,39,52,32,6,27.0,10,0.22,1,20,1040,0,0,10.5,5,0,0.72,0.42,75,4,Male,USA,New York,Enterprise,Web,Yearly,Card,Yes,No,No complaint,Satisfied
DEMO-019,53,42,26,5,22.8,8,0.15,3,30,1260,0,1,14.0,5,0,0.65,0.35,60,3,Female,Canada,Toronto,SME,Referral,Yearly,PayPal,Yes,No,No complaint,Satisfied
DEMO-020,34,56,34,6,28.5,11,0.25,1,20,1120,0,0,9.0,5,0,0.78,0.45,85,5,Male,Australia,Sydney,Individual,Web,Yearly,Card,Yes,No,No complaint,Satisfied
DEMO-021,48,38,25,5,21.0,8,0.12,3,30,1140,0,1,15.0,4,0,0.60,0.32,50,2,Female,UK,London,SME,Mobile,Yearly,Bank Transfer,Yes,No,No complaint,Satisfied
DEMO-022,30,45,29,5,25.0,9,0.20,2,25,1125,0,0,11.0,5,0,0.70,0.40,70,4,Male,India,Delhi,Individual,Referral,Yearly,Card,Yes,No,No complaint,Satisfied
DEMO-023,61,50,30,6,26.2,10,0.16,2,20,1000,0,0,10.0,5,0,0.66,0.36,65,3,Female,Germany,Berlin,Enterprise,Web,Yearly,Card,Yes,No,No complaint,Satisfied
DEMO-024,46,40,27,5,23.5,8,0.14,3,25,1000,0,1,13.5,4,0,0.62,0.34,55,2,Male,Bangladesh,Dhaka,SME,Referral,Yearly,PayPal,Yes,No,No complaint,Satisfied
DEMO-025,37,58,35,7,30.0,12,0.28,1,20,1160,0,0,8.5,5,0,0.80,0.48,90,5,Female,USA,New York,Individual,Web,Yearly,Card,Yes,No,No complaint,Satisfied
